epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1515,2.04545,4.09082,3.4935,1.60233,0.02775,0.48823,0.12353,0.07429,0.02491,0.4487,0.142,0.06476,1.13604,2.59008,3.30563,1.06769,0.00018337,0.00018337,0.00018337
2,33.2396,1.41071,2.38618,2.19119,1.14212,0.8027,0.26117,0.31946,0.18897,0.8469,0.2729,0.33185,0.16527,1.36781,2.22518,2.53119,1.03898,0.000379614,0.000379614,0.000379614
3,49.5223,1.26518,2.00138,1.41909,1.07096,0.45814,0.27427,0.41349,0.25534,0.41279,0.2737,0.40078,0.21703,1.2432,1.89622,2.35397,1.02,0.000571898,0.000571898,0.000571898
4,65.5685,1.13901,1.77482,1.13588,1.03619,0.49502,0.30931,0.43309,0.25652,0.46741,0.30663,0.415,0.2096,1.24868,1.94235,2.15699,1.01946,0.00076022,0.00076022,0.00076022
5,82.0756,1.0861,1.73202,1.04177,1.01283,0.65368,0.28445,0.48748,0.28697,0.62258,0.27505,0.45501,0.22832,1.1381,1.91805,2.22181,0.99197,0.000944582,0.000944582,0.000944582
6,99.093,1.03784,1.62978,0.97545,0.99954,0.38642,0.24258,0.30686,0.19282,0.37615,0.2401,0.29693,0.1544,1.20292,1.80322,2.42904,1.04861,0.00112498,0.00112498,0.00112498
7,116.225,1.0281,1.61577,0.94528,0.99497,0.81843,0.3385,0.58962,0.35793,0.8029,0.337,0.55445,0.27658,1.17209,1.91796,1.98363,1.04076,0.00130142,0.00130142,0.00130142
8,132.854,1.00358,1.56031,0.90786,0.98558,0.68929,0.43297,0.5698,0.37428,0.69612,0.43334,0.55725,0.30882,1.09745,1.62773,1.83251,1.01276,0.0014739,0.0014739,0.0014739
9,150.014,0.97091,1.50301,0.85725,0.97621,0.64952,0.32767,0.45445,0.25913,0.66405,0.33501,0.45282,0.22971,1.20507,1.95998,2.23478,1.11029,0.00153497,0.00153497,0.00153497
10,166.605,0.97706,1.48309,0.86131,0.97526,0.64866,0.59545,0.59432,0.38507,0.63867,0.57661,0.5687,0.31245,1.06736,1.77868,1.51034,1.02846,0.00151847,0.00151847,0.00151847
11,182.867,0.95102,1.47299,0.84569,0.96439,0.6815,0.6014,0.64922,0.43198,0.67049,0.5959,0.62731,0.36283,1.03297,1.71273,1.14766,1.00955,0.00150197,0.00150197,0.00150197
12,199.044,0.95889,1.4878,0.86382,0.96944,0.71395,0.67435,0.7038,0.48646,0.70088,0.65712,0.67985,0.4131,0.94947,1.3939,0.96385,0.97629,0.00148546,0.00148546,0.00148546
13,216.488,0.93564,1.44844,0.81485,0.9615,0.69065,0.65545,0.6679,0.47259,0.69784,0.65787,0.66564,0.41176,0.94389,1.35422,0.93017,0.97022,0.00146896,0.00146896,0.00146896
14,232.724,0.93548,1.47287,0.81002,0.95858,0.727,0.66975,0.72672,0.50902,0.72109,0.65586,0.70317,0.42031,0.93249,1.46463,0.86811,0.95954,0.00145246,0.00145246,0.00145246
15,249.439,0.92361,1.43935,0.78929,0.95064,0.71607,0.71642,0.74462,0.53126,0.73318,0.6952,0.73512,0.4536,0.92995,1.34336,0.77045,0.96994,0.00143595,0.00143595,0.00143595
16,265.551,0.90489,1.408,0.76025,0.95,0.77469,0.70695,0.77555,0.55353,0.77931,0.68649,0.75129,0.45684,0.90028,1.31433,0.83787,0.95141,0.00141945,0.00141945,0.00141945
17,282.237,0.88042,1.38545,0.74299,0.9467,0.78037,0.72931,0.78353,0.56667,0.7599,0.70071,0.74555,0.45277,0.86625,1.27589,0.77259,0.94714,0.00140295,0.00140295,0.00140295
18,299.454,0.87715,1.36866,0.72964,0.9437,0.78349,0.73382,0.80264,0.56447,0.77564,0.71663,0.77874,0.47685,0.89456,1.3036,0.74561,0.95206,0.00138644,0.00138644,0.00138644
19,316.348,0.90663,1.38023,0.73863,0.94882,0.78358,0.7286,0.79503,0.57294,0.77089,0.71687,0.77465,0.46603,0.87586,1.33926,0.7371,0.94196,0.00136994,0.00136994,0.00136994
20,333.583,0.88187,1.37436,0.72186,0.94342,0.79841,0.71876,0.79872,0.57893,0.78022,0.70284,0.76497,0.46561,0.84735,1.29417,0.72291,0.93766,0.00135344,0.00135344,0.00135344
21,349.689,0.87549,1.3575,0.71221,0.9409,0.7721,0.75025,0.79983,0.57583,0.77609,0.71858,0.77327,0.47097,0.86276,1.28594,0.71565,0.93766,0.00133693,0.00133693,0.00133693
22,365.82,0.8768,1.36629,0.72247,0.94118,0.72714,0.67171,0.72819,0.50388,0.74587,0.64335,0.71305,0.41701,0.93706,1.39151,0.92131,0.98139,0.00132043,0.00132043,0.00132043
23,382.039,0.85945,1.34428,0.70817,0.93628,0.78511,0.73789,0.79607,0.57826,0.77831,0.71656,0.77024,0.47016,0.84233,1.25181,0.68639,0.93174,0.00130393,0.00130393,0.00130393
24,398.171,0.85871,1.33519,0.70997,0.93617,0.80024,0.73786,0.81261,0.59692,0.79471,0.71843,0.79313,0.49556,0.82328,1.24948,0.64536,0.92229,0.00128742,0.00128742,0.00128742
25,414.91,0.86136,1.33342,0.68827,0.92755,0.78953,0.74121,0.8102,0.59524,0.76833,0.71698,0.7681,0.46709,0.80114,1.28879,0.64649,0.91242,0.00127092,0.00127092,0.00127092
26,432.542,0.84086,1.32029,0.6713,0.93226,0.80258,0.75802,0.82491,0.60066,0.78176,0.73585,0.78525,0.47106,0.83663,1.27601,0.66033,0.93691,0.00125442,0.00125442,0.00125442
27,448.722,0.8377,1.31487,0.67639,0.92836,0.81283,0.73518,0.81875,0.59502,0.79201,0.71699,0.78017,0.47454,0.81892,1.27003,0.65632,0.93758,0.00123791,0.00123791,0.00123791
28,464.385,0.83947,1.351,0.67571,0.93212,0.77651,0.74131,0.80029,0.58092,0.7755,0.70002,0.77262,0.46869,0.82878,1.2742,0.69498,0.93844,0.00122141,0.00122141,0.00122141
29,480.897,0.85237,1.35833,0.68114,0.9331,0.77334,0.76793,0.81302,0.59787,0.77853,0.73526,0.78733,0.49132,0.80058,1.25406,0.64028,0.93105,0.00120491,0.00120491,0.00120491
30,498.17,0.83687,1.31617,0.66475,0.92762,0.76879,0.742,0.8025,0.57814,0.74736,0.71985,0.76448,0.45126,0.81834,1.40364,0.65999,0.93398,0.0011884,0.0011884,0.0011884
31,514.528,0.84957,1.32038,0.67068,0.93194,0.74881,0.75282,0.79067,0.56873,0.7315,0.70928,0.74502,0.44475,0.86892,1.34255,0.67707,0.94944,0.0011719,0.0011719,0.0011719
32,530.17,0.83936,1.3025,0.66078,0.93253,0.80288,0.7421,0.82144,0.58663,0.80144,0.7335,0.80012,0.48432,0.88053,1.28989,0.71537,0.94665,0.0011554,0.0011554,0.0011554
33,545.886,0.83876,1.29769,0.6531,0.92736,0.79902,0.73328,0.81387,0.5824,0.78858,0.71632,0.78551,0.48231,0.86189,1.23078,0.71201,0.94783,0.00113889,0.00113889,0.00113889
34,563.29,0.82999,1.30319,0.66279,0.92916,0.77159,0.76773,0.8155,0.59322,0.76573,0.73848,0.78885,0.49753,0.86178,1.23679,0.69519,0.95047,0.00112239,0.00112239,0.00112239
35,580.162,0.8253,1.29177,0.64153,0.92071,0.80239,0.75914,0.80986,0.58928,0.78062,0.72149,0.77493,0.4848,0.84477,1.22953,0.75504,0.93649,0.00110589,0.00110589,0.00110589
